Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
ATEC1,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATEC1,1,3,3,0,0,0.00017173913043478262,0.00017173913043478262,0.00017173913043478262,2.466618597779947e-05,2.466618597779947e-05,2.466618597779947e-05,0.00017173913043478262,2.466618597779947e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATEC1,2,3,3,0,0,1e-05,1e-05,1e-05,3.5453531312090476e-06,3.5453531312090476e-06,3.5453531312090476e-06,1e-05,3.5453531312090476e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATEC1,3,3,3,0,0,2.448979591836735e-06,2.448979591836735e-06,2.448979591836735e-06,1.1346445549787764e-06,1.1346445549787764e-06,1.1346445549787764e-06,2.448979591836735e-06,1.1346445549787764e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATEC1,5,3,3,0,0,3.586956521739131e-07,3.586956521739131e-07,3.586956521739131e-07,1.7430771424311648e-08,1.7430771424311648e-08,1.7430771424311648e-08,3.586956521739131e-07,1.7430771424311648e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATEC1,7,3,3,0,0,2.448979591836735e-07,2.448979591836735e-07,2.448979591836735e-07,7.37518960736204e-08,7.37518960736204e-08,7.37518960736204e-08,2.448979591836735e-07,7.37518960736204e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,1,3,3,0,0,0.1054054054054054,0.1054054054054054,0.1054054054054054,0.002719058122741933,0.002719058122741933,0.002719058122741933,0.1054054054054054,0.002719058122741933,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,2,3,3,0,0,0.07142857142857141,0.07142857142857141,0.07142857142857141,0.017650026410780974,0.017650026410780974,0.017650026410780974,0.07142857142857141,0.017650026410780974,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,3,3,3,0,0,0.06216216216216216,0.06216216216216216,0.06216216216216216,0.003205626418390499,0.003205626418390499,0.003205626418390499,0.06216216216216216,0.003205626418390499,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,5,3,3,0,0,0.022999999999999996,0.022999999999999996,0.022999999999999996,0.0024357036446877763,0.0024357036446877763,0.0024357036446877763,0.022999999999999996,0.0024357036446877763,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc1,7,3,3,0,0,0.018999999999999996,0.018999999999999996,0.018999999999999996,0.002541603803152459,0.002541603803152459,0.002541603803152459,0.018999999999999996,0.002541603803152459,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,1,3,3,0,0,0.0009555555555555556,0.0009555555555555556,0.0009555555555555556,2.5823101703701315e-05,2.5823101703701315e-05,2.5823101703701315e-05,0.0009555555555555556,2.5823101703701315e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,2,3,3,0,0,0.00018,0.00018,0.00018,9.616879255171498e-06,9.616879255171498e-06,9.616879255171498e-06,0.00018,9.616879255171498e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,3,3,3,0,0,6.444444444444446e-05,6.444444444444446e-05,6.444444444444446e-05,1.2620267472025105e-05,1.2620267472025105e-05,1.2620267472025105e-05,6.444444444444446e-05,1.2620267472025105e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,5,3,3,0,0,7.777777777777778e-05,7.777777777777778e-05,7.777777777777778e-05,1.2911550851850596e-05,1.2911550851850596e-05,1.2911550851850596e-05,7.777777777777778e-05,1.2911550851850596e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc2,7,3,3,0,0,1.2666666666666668e-05,1.2666666666666668e-05,1.2666666666666668e-05,1.4407207999037517e-06,1.4407207999037517e-06,1.4407207999037517e-06,1.2666666666666668e-05,1.4407207999037517e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,1,3,3,0,0,0.00017843137254901963,0.00017843137254901963,0.00017843137254901963,8.721189520621187e-06,8.721189520621187e-06,8.721189520621187e-06,0.00017843137254901963,8.721189520621187e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,2,3,3,0,0,8.627450980392158e-05,8.627450980392158e-05,8.627450980392158e-05,5.814126347080798e-06,5.814126347080798e-06,5.814126347080798e-06,8.627450980392158e-05,5.814126347080798e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,3,3,3,0,0,5.8823529411764714e-05,5.8823529411764714e-05,5.8823529411764714e-05,1.1628252694161587e-05,1.1628252694161587e-05,1.1628252694161587e-05,5.8823529411764714e-05,1.1628252694161587e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,5,3,3,0,0,5.490196078431373e-05,5.490196078431373e-05,5.490196078431373e-05,1.8435034759036597e-06,1.8435034759036597e-06,1.8435034759036597e-06,5.490196078431373e-05,1.8435034759036597e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc3,7,3,3,0,0,2.254901960784314e-05,2.254901960784314e-05,2.254901960784314e-05,8.721189520621188e-07,8.721189520621188e-07,8.721189520621188e-07,2.254901960784314e-05,8.721189520621188e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,1,3,3,0,0,0.002114285714285715,0.002114285714285715,0.002114285714285715,0.00036979190469290334,0.00036979190469290334,0.00036979190469290334,0.002114285714285715,0.00036979190469290334,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,2,3,3,0,0,0.0007142857142857144,0.0007142857142857144,0.0007142857142857144,0.0002976653102791171,0.0002976653102791171,0.0002976653102791171,0.0007142857142857144,0.0002976653102791171,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,3,3,3,0,0,0.00015714285714285716,0.00015714285714285716,0.00015714285714285716,3.663573049589131e-05,3.663573049589131e-05,3.663573049589131e-05,0.00015714285714285716,3.663573049589131e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,5,3,3,0,0,5.7142857142857155e-05,5.7142857142857155e-05,5.7142857142857155e-05,1.2593532357962652e-05,1.2593532357962652e-05,1.2593532357962652e-05,5.7142857142857155e-05,1.2593532357962652e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc4,7,3,3,0,0,2.3714285714285717e-05,2.3714285714285717e-05,2.3714285714285717e-05,8.296729656267796e-06,8.296729656267796e-06,8.296729656267796e-06,2.3714285714285717e-05,8.296729656267796e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc5,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc5,1,3,3,0,0,0.22972972972972971,0.22972972972972971,0.22972972972972971,0.04982077725248553,0.04982077725248553,0.04982077725248553,0.22972972972972971,0.04982077725248553,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ATECc5,2,3,3,0,0,0.17027027027027028,0.17027027027027028,0.17027027027027028,0.019367326277775848,0.019367326277775848,0.019367326277775848,0.17027027027027028,0.019367326277775848,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
